experiment,roi,t_sec,amplitude_percent,amplitude_raw,prominence_percent,width_ms,rise_ms,decay_ms,snr,baseline,noise_sigma,gevi,file_path,auc
analysis_output,1,49.250978,7.909,0.079094,420.173,5.423,2.982,2.982,139.3656387665198,-0.002458,3.281853,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.042890507
analysis_output,1,49.642585,15.376,0.153762,463.5,4.918,2.982,2.982,270.94273127753297,0.000615,3.085508,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.075619168
analysis_output,1,50.187255,14.904,0.14904,481.44,5.783,2.982,2.982,262.6255506607929,-0.000203,2.668995,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.08618983200000001
analysis_output,1,50.199183,5.848,0.058479,355.935,5.628,3.976,3.976,103.04845814977972,-0.000246,3.018186,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.032912543999999995
analysis_output,1,51.012213,17.168,0.17168,376.088,5.86,4.97,4.97,302.5198237885462,-0.000465,3.4233,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.10060448
analysis_output,1,51.447553,7.183,0.071831,589.15,5.829,2.982,2.982,126.57268722466958,0.000348,3.067067,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.041869707
analysis_output,1,51.882892,11.349,0.113487,400.02,5.658,3.976,2.982,199.98237885462552,0.001086,2.98811,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.064212642
analysis_output,1,52.335128,8.005,0.080054,451.977,5.263,2.982,1.988,141.05726872246694,-0.000964,2.863617,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.042130315
analysis_output,1,54.34882,5.207,0.052072,302.043,5.475,3.976,3.976,91.75330396475769,-0.001549,2.924299,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.028508324999999994
analysis_output,1,55.353678,6.362,0.063619,452.892,5.929,3.976,2.982,112.10572687224668,-0.000187,3.312108,ASAP6.2,/Users/gts/Downloads/ASAP_experiments/ASAP6_2/240823172853_cluster_04-50mWpermm2/analysis_output/events/events_roi001.csv,0.037720298
